college,state,division,type
Texas Woman's University[j],"15,361",Division II,Lone Star Conference
Queens College,"15,965",Division II,East Coast Conference
West Chester University of Pennsylvania,"17,202",Division II,Pennsylvania State Athletic Conference
Metropolitan State University of Denver,"17,782",Division II,Rocky Mountain Athletic Conference
"California State University, San Bernardino","17,900",Division II,California Collegiate Athletic Association
University of North Georgia,"19,298",Division II,Peach Belt Conference
American International College,"2,010",Division II,Northeast-10 Conference
Assumption University,"2,044",Division II,Northeast-10 Conference
Henderson State University,"2,061",Division II,Great American Conference
Northwestern Oklahoma State University,"2,081",Division II,Great American Conference
Lincoln University (MO),"2,093",Division II,Great Lakes Valley Conference
Chadron State College,"2,098",Division II,Rocky Mountain Athletic Conference
Saint Anselm College,"2,111",Division II,Northeast-10 Conference
Oklahoma Christian University,"2,153",Division II,Lone Star Conference
University of Mount Olive,"2,154",Division II,Conference Carolinas
Augustana University,"2,158",Division II,Northern Sun Intercollegiate Conference
Southern Nazarene University,"2,165",Division II,Great American Conference
Caldwell University,"2,193",Division II,Central Atlantic Collegiate Conference
University of South Carolina Beaufort,"2,204",Division II,Peach Belt Conference
Morehouse College[e],"2,206",Division II,Southern Intercollegiate Athletic Conference
Vanguard University,"2,219",Division II,Pacific West Conference
Northwood University,"2,227",Division II,Great Midwest Athletic Conference
University of Virginia's College at Wise,"2,253",Division II,South Atlantic Conference
Lenoir-Rhyne University,"2,255",Division II,South Atlantic Conference
"Pennsylvania Western University, Edinboro","2,259",Division II,Pennsylvania State Athletic Conference
Elizabeth City State University,"2,261",Division II,Central Intercollegiate Athletic Association
Seattle Pacific University,"2,261",Division II,Great Northwest Athletic Conference
Drury University,"2,268",Division II,Great Lakes Valley Conference
West Liberty University,"2,291",Division II,Mountain East Conference
North Greenville University,"2,304",Division II,Conference Carolinas
Walsh University,"2,311",Division II,Great Midwest Athletic Conference
Chaminade University of Honolulu,"2,369",Division II,Pacific West Conference
D'Youville University,"2,376",Division II,East Coast Conference
Felician University,"2,427",Division II,Central Atlantic Collegiate Conference
McKendree University,"2,442",Division II,Great Lakes Valley Conference
Flagler College,"2,530",Division II,Peach Belt Conference
Daemen University,"2,540",Division II,East Coast Conference
South Dakota School of Mines and Technology,"2,579",Division II,Rocky Mountain Athletic Conference
Carson-Newman University,"2,585",Division II,South Atlantic Conference
Delta State University,"2,654",Division II,Gulf South Conference
Lock Haven University of Pennsylvania,"2,702",Division II,Pennsylvania State Athletic Conference
New Mexico Highlands University,"2,704",Division II,Rocky Mountain Athletic Conference
Southwest Baptist University,"2,709",Division II,Great Lakes Valley Conference
"Pennsylvania Western University, California","2,717",Division II,Pennsylvania State Athletic Conference
Union University,"2,718",Division II,Gulf South Conference
Central State University,"2,719",Division II,Southern Intercollegiate Athletic Conference
Minot State University,"2,751",Division II,Northern Sun Intercollegiate Conference
Southern New Hampshire University,"2,769[i]",Division II,Northeast-10 Conference
University of Hawai'i at Hilo,"2,781",Division II,Pacific West Conference
Newman University,"2,787",Division II,Mid-America Intercollegiate Athletics Association
University of Arkansas at Monticello,"2,856",Division II,Great American Conference
Fresno Pacific University,"2,889",Division II,Pacific West Conference(California Collegiate Athletic Association in 2026)
Fort Valley State University,"2,905",Division II,Southern Intercollegiate Athletic Conference
Florida Southern College,"2,915",Division II,Sunshine State Conference
University of Puerto Rico at Bayamón,"2,967",Division II,Independent
Wilmington University,"20,384",Division II,Central Atlantic Collegiate Conference
Post University,"21,699",Division II,Central Atlantic Collegiate Conference
Grand Valley State University,"22,011",Division II,Great Lakes Intercollegiate Athletic Conference
San Francisco State University,"22,357",Division II,California Collegiate Athletic Association
"California State University, Los Angeles","22,740",Division II,California Collegiate Athletic Association
