chapter_name,university,city,state_province,country,region
Beta Xi,University of New Mexico,Albuquerque,NM,United States,Southwestern
Beta Zeta,University of North Dakota,Grand Forks,ND,United States,North Central
Chi,Hanover College,Hanover,IN,United States,Central Kentucky
Chi Chi,Birmingham-Southern College,Birmingham,AL,United States,Alabama Northern
Delta,University of Georgia,Athens,GA,United States,North Georgia
Delta Chi,Wabash College,Crawfordsville,IN,United States,Central Indiana
Delta Delta,Purdue University,West Lafayette,IN,United States,Central Indiana
Delta Epsilon,North Carolina State University,Raleigh,NC,United States,Eastern North Carolina
Delta Eta,University of California-Los Angeles,Los Angeles,CA,United States,Los Angeles Coastal
Delta Iota,University of Denver,Denver,CO,United States,Rocky Mountain
Delta Kappa,Bowling Green State University,Bowling Green,OH,United States,Northern Ohio
Delta Mu,Southern Methodist University,Dallas,TX,United States,Northern Texas
Delta Nu,Wake Forest University,Winston-Salem,NC,United States,Western North Carolina
Delta Omega,University of Tulsa,Tulsa,OK,United States,Oklahoma/Arkansas
Delta Omicron,University of British Columbia-Simon Fraser University,Vancouver,BC,Canada,Northwestern
Delta Phi,University of Puget Sound,Tacoma,WA,United States,Northwestern
Delta Psi,Rensselaer Polytechnic Institute,Troy,NY,United States,Hudson Valley
Delta Rho,Bradley University,Peoria,IL,United States,Central Illinois
Delta Sigma,University of Rhode Island,Portsmouth,RI,United States,Connecticut/Rhode Island
Delta Theta,University of Tennessee-Chattanooga,Chattanooga,TN,United States,East Tennessee
Delta Upsilon,Kansas State University,Manhattan,KS,United States,Kansas/Nebraska
Delta Xi,San Diego State University,San Diego,CA,United States,Southern California
Delta Zeta,Willamette University,Salem,OR,United States,Northwestern
Epsilon,George Washington University,Washington,DC,United States,Eastern
Epsilon Eta,California State University-Fresno,Fresno,CA,United States,California Central Valley
Epsilon Kappa,University of Memphis,Memphis,TN,United States,Mississippi River
Epsilon Lambda,Ripon College,Ripon,WI,United States,Wisconsin
Epsilon Mu,Texas Christian University,Fort Worth,TX,United States,Northern Texas
Epsilon Nu,Texas Tech University,Lubbock,TX,United States,Southwestern
Epsilon Omega,Ball State University,Muncie,IN,United States,Central Indiana
Epsilon Omicron,Western University,London,ON,Canada,Ontario
Epsilon Phi,Southeast Missouri State University,Cape Girardeau,MO,United States,Mississippi River
Epsilon Psi,Sam Houston State University,Spring,TX,United States,East Texas
