College,Sorority Name,Instagram Handle
"California State University, Los Angeles","Lambda Theta Alpha",""
"California State University, Monterey Bay","Sigma Theta Psi",""
"California State University, Monterey Bay","Alpha Kappa Alpha",""
"California State University, Monterey Bay","Lambda Theta Nu",""
"California State University, Monterey Bay","Kappa Delta Chi",""
"California State University, Monterey Bay","Lambda Sigma Gamma",""
"California State University, Monterey Bay","Delta Sigma Theta",""
"California State University, Northridge","Alpha Xi Delta",""
"California State University, Northridge","Alpha Omicron Pi",""
"California State University, Northridge","Alpha Phi",""
"California State University, Northridge","Delta Delta Delta",""
"California State University, Northridge","Delta Zeta",""
"California State University, Northridge","Kappa Kappa Gamma",""
"California State University, Northridge","Phi Mu",""
"California State University, Northridge","Lambda Sigma Gamma",""
"California State University, Northridge","Sigma Gamma Rho",""
"California State University, Northridge","Chi Delta Theta",""
"California State University, Sacramento","Alpha Kappa Alpha",""
"California State University, Sacramento","Delta Gamma",""
"California State University, Sacramento","Phi Mu",""
"California State University, Sacramento","Delta Sigma Theta",""
"California State University, Sacramento","Alpha Phi",""
"California State University, Sacramento","Phi Sigma Sigma",""
"California State University, Sacramento","Alpha Chi Omega",""
"California State University, Sacramento","Sigma Gamma Rho",""
"California State University, Sacramento","Lambda Sigma Gamma",""
"California State University, Sacramento","Sigma Theta Psi",""
"California State University, Sacramento","Sigma Kappa",""
"California State University, Sacramento","Gamma Phi Beta",""
"California State University, San Bernardino","Zeta Tau Alpha",""
"California State University, San Bernardino","Alpha Delta Pi",""
"California State University, San Bernardino","Alpha Kappa Alpha",""
"California State University, San Bernardino","Kappa Delta",""
"California State University, San Bernardino","Alpha Phi",""
"California State University, San Bernardino","Delta Sigma Theta",""
"California State University, Stanislaus","Phi Sigma Sigma",""
"California State University, Stanislaus","Alpha Xi Delta",""
"California State University, Stanislaus","Phi Mu",""
"California State University, Stanislaus","Lambda Sigma Gamma",""
"California State University, Stanislaus","Alpha Pi Sigma",""
"Cameron University","Alpha Kappa Alpha",""
"Cameron University","Alpha Phi",""
"Capital University","Alpha Kappa Alpha",""
"Capital University","Alpha Sigma Alpha",""
"Capital University","Delta Phi Epsilon",""
"Capital University","Delta Sigma Theta",""
"Capital University","Phi Sigma Sigma",""
"Carleton College","Sigma Gamma Rho",""
"Carleton College","Alpha Omicron Pi",""
"Carleton College","Tau Sigma Phi",""
"Carleton College","Phi Sigma Sigma",""
"Carleton College","Delta Psi Delta",""
"Carleton College","Alpha Pi Phi",""
"Carleton College","Delta Phi Epsilon",""
"Carnegie Mellon University","",""
"Carnegie Mellon University","Delta Delta Delta",""
